
C:\Users\Nick\Code\lolmath>python -m cProfile -s cumulative tests.py 
         1985685 function calls (1956127 primitive calls) in 3.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ordered_dict.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        6    0.000    0.000    0.000    0.000 {dir}
      132    0.000    0.000    0.000    0.000 {max}
       52    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       63    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
       25    0.000    0.000    0.000    0.000 ntpath.py:62(join)
       75    0.000    0.000    0.000    0.000 champion.py:339(ability_str)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 timeout.py:3(<module>)
       75    0.000    0.000    0.000    0.000 champion.py:283(MS)
        5    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       93    0.000    0.000    0.000    0.000 item.py:178(__repr__)
      144    0.000    0.000    0.000    0.000 item.py:102(__repr__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      135    0.000    0.000    0.000    0.000 item.py:70(__repr__)
      480    0.000    0.000    0.000    0.000 item.py:59(__repr__)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
        1    0.000    0.000    0.000    0.000 hex_codec.py:70(getregentry)
        1    0.000    0.000    0.000    0.000 util.py:32(find_msvcrt)
      124    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      257    0.000    0.000    0.000    0.000 Cookie.py:310(<genexpr>)
       51    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
      124    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
       51    0.000    0.000    0.000    0.000 ntpath.py:95(splitdrive)
        9    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
      462    0.000    0.000    0.000    0.000 tests.py:168(<genexpr>)
